Id,Name,Description,Category,Density,ECI_A1A3
2000,"Aggregates and sand, general UK, mixture of land won, marine, secondary and recycled, bulk, loose","This is an estimate of a market average aggregate. It models a mixture of 64.2% land won, 27.5% recycled and secondary, and 8.3% marine aggregates. Consumption statistics have been taken from a report, by British Marine Aggregates Producer Association, a member of the  Mineral Products Association (MPA). [Tenth sustainable development report for the British marine aggregate industry, Dec 2016]. These results are sensitive to the embodied carbon of secondary aggregates, which is a material where data would benefit from improvement. If you know the specific type of aggregates you will use, then it is recommended to use a more specific category of aggregates.",AggregateSand,1600,0.007469645
2001,"Aggregates and sand, general, virgin mixture of land won and marine, bulk, loose","Excludes recycled and secondary aggregate. This has been modelled with 89% land won and 11% marine won aggregate. Consumption statistics have been taken from a report, by British Marine Aggregates Producer Association, a member of the  Mineral Products Association (MPA). [Tenth sustainable development report for the British marine aggregate industry, Dec 2016].  The consumption of marine aggregate was taken to be the total marine aggregate production. Of the total, 68% are consumed in the GB market, 11% are sent to the European market and 21% used as beach replenishment or fill.",AggregateSand,1600,0.004927789
2002,"Aggregates and sand, from virgin land won resources, bulk, loose",Based upon the stastical average of all data collected for virgin aggregates in the ICE Database. ,AggregateSand,1600,0.004357501
2003,"Aggregates and sand, from virgin marine resources, bulk, loose","Consumption statistics have been taken from a report, by British Marine Aggregates Producer Association, a member of the  Mineral Products Association (MPA). [Tenth sustainable development report for the British marine aggregate industry, Dec 2016].  The consumption of marine aggregate was taken to be the total marine aggregate production. The data has been modelled with the average energy consumption for extracting marine aggregates in the UK. The original data did not use all scope emissions factors, instead just scope 1 and 2. The data was therefore used to estimate the full scope 1, 2 and 3 emissions. The impacts to produce aggregates has a particularly large variation in embodied impacts. ",AggregateSand,1600,0.0090375
2004,"Aggregates and sand, from recycled resources, no heat treatment, bulk, loose","Based upon the stastical average of all data collected for recycled aggregates with no heat treatment in the ICE Database. Recycled aggregates include aggreagates from construction and demolition waste. It does not cover secondary aggregates, such as blaast furnace slag, or bottom ash (see seperate category for these). Data for recycled aggregates is more difficult to obtain than for virgin aggregates. There is also a large range in results for recycled aggregates, adding uncertainty into the results.",AggregateSand,1600,0.006052979
2005,"Aggregates and sand, from recycled resources, with heat treatment, bulk, loose","Based upon the stastical average of all data collected for recycled aggregates that have been through heat treatment in the ICE Database. Recycled aggregates include aggreagates from construction and demolition waste. It does not cover secondary aggregates such as blaast furnace slag, or bottom ash (see seperate category for these). Data for recycled aggregates is more difficult to obtain than for virgin aggregates. There is also a large range in results for recycled aggregates, adding uncertainty into the results.",AggregateSand,1600,0.118771667
2006,"Aggregates and sand,  expanded clay, bulk, loose",Based upon the stastical average of all data collected for expanded clay aggregates in the ICE Database. ,AggregateSand,1600,0.3350915
2007,"Aggregates,  expanded foamed glass, bulk, loose",Based upon the stastical average of all data collected for expanded foamed glass aggregates in the ICE Database. ,AggregateSand,1600,0.273532
2008,"Aggregates and sand, from secondary resources, bulk, loose","Including blast furnace slag, bottom ashes, road planings, mining spoil and other aggregates manufacturered from secondary resources. Limited data on the embodied carbon of secondary aggregates was available. There was also limited data on the consumption mixture of secondary aggregates in the UK. The mixture was estimated based upon two sub-regional reports for the Aggregate Minerals survey2015 (AM15). See the references [Table 6.1 in Ref: North East Aggregates Working Party, Annual Aggregates Monitoring report 2015, Dec 2016 ] and [Table 10B in South East Aggregates Working Party, South East Aggregates Monitoring report 2014 & 2015, Sept 2016]. The data would benefit from covering a wider share of the UK secondary aggregate market,",AggregateSand,1600,0.063323
2009,"Aggregates and sand, mixture of recycled and secondary resources, bulk, loose","Data on recycled and (particularly) secondary aggregates would benefit from improvement. Limited data on the embodied carbon of secondary aggregates was available. There was also limited data on the consumption mixture of recycled and secondary aggregates in the UK. The mixture was modelled with 33% secondary and 67% recycled aggregates. [Estimated from Ref: Aggregates, cement and ready-mix concrete market investigation, Working paper on market definition for aggregates, cement and RMX. ND67. Available from: https://assets.publishing.service.gov.uk/media/5329dfb440f0b60a730002cf/market_definition_housestyled.pdf]",AggregateSand,1600,0.014181254
