Id,Designation,Size,CategoryType,SubCategory,Material,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,φa min,φa max,Tan α,φa,d/t,Wt,c/t
,610x229x125 UB,,I,UK,Steel,-,125.1,612.2,229,11.9,19.6,12.7,547.6,46,4.89,8,120,34,2.09,16.7,98600,3930,24.9,4.97,3220,343,3680,535,0.875,34,3.45,154,159,,,,,,,,,,,,,,,,
,610x229x113 UB,,I,UK,Steel,-,113,607.6,228.2,11.1,17.3,12.7,547.6,49.3,5.54,8,120,30,2.08,18.4,87300,3430,24.6,4.88,2870,301,3280,469,0.87,38,2.99,111,144,,,,,,,,,,,,,,,,
,610x229x101 UB,,I,UK,Steel,-,101.2,602.6,227.6,10.5,14.8,12.7,547.6,52.2,6.48,7,120,28,2.07,20.5,75800,2910,24.2,4.75,2520,256,2880,400,0.863,43,2.52,77,129,,,,,,,,,,,,,,,,
,610x178x100 UKB,,I,UK,Steel,Tata,100.3,607.4,179.2,11.3,17.2,12.7,547.6,48.5,4.14,8,94,30,1.89,18.8,72500,1660,23.8,3.6,2390,185,2790,296,0.854,38.7,1.44,95,128,,,,,,,,,,,,,,,,
,610x178x92 UKB,,I,UK,Steel,Tata,92.2,603,178.8,10.9,15,12.7,547.6,50.2,4.75,7,94,28,1.88,20.4,64600,1440,23.4,3.5,2140,161,2510,258,0.85,42.7,1.24,71,117,,,,,,,,,,,,,,,,
,610x178x82 UKB,,I,UK,Steel,Tata,81.8,598.6,177.9,10,12.8,12.7,547.6,54.8,5.57,7,94,26,1.87,22.9,55900,1210,23.2,3.4,1870,136,2190,218,0.843,48.5,1.04,48.8,104,,,,,,,,,,,,,,,,
,533x312x272 UKB,,I,UK,Steel,Tata,273.3,577.1,320.2,21.1,37.6,12.7,476.5,22.6,3.64,13,160,52,2.37,8.67,199000,20600,23.9,7.69,6890,1290,7870,1990,0.891,15.9,15,1290,348,,,,,,,,,,,,,,,,
,533x312x219 UKB,,I,UK,Steel,Tata,218.8,560.3,317.4,18.3,29.2,12.7,476.5,26,4.69,11,160,42,2.33,10.7,151000,15600,23.3,7.48,5400,982,6120,1510,0.884,19.8,11,642,279,,,,,,,,,,,,,,,,
,533x312x182 UKB,,I,UK,Steel,Tata,181.5,550.7,314.5,15.2,24.4,12.7,476.5,31.3,5.61,10,160,38,2.31,12.7,123000,12700,23.1,7.4,4480,806,5040,1240,0.886,23.4,8.77,373,231,,,,,,,,,,,,,,,,
,533x312x150 UKB,,I,UK,Steel,Tata,150.6,542.5,312,12.7,20.3,12.7,476.5,37.5,6.75,8,160,34,2.29,15.2,101000,10300,22.9,7.32,3710,659,4150,1010,0.885,27.8,7.01,216,192,,,,,,,,,,,,,,,,
,533x210x138 UKB,,I,UK,Steel,Tata,138.3,549.1,213.9,14.7,23.6,12.7,476.5,32.4,3.68,9,110,38,1.9,13.7,86100,3860,22.1,4.68,3140,361,3610,568,0.874,24.9,2.67,250,176,,,,,,,,,,,,,,,,
,533x210x122 UB,,I,UK,Steel,-,122,544.5,211.9,12.7,21.3,12.7,476.5,37.5,4.08,8,110,34,1.89,15.5,76000,3390,22.1,4.67,2790,320,3200,500,0.878,27.6,2.32,178,155,,,,,,,,,,,,,,,,
,533x210x109 UB,,I,UK,Steel,-,109,539.5,210.8,11.6,18.8,12.7,476.5,41.1,4.62,8,110,32,1.88,17.2,66800,2940,21.9,4.6,2480,279,2830,436,0.875,30.9,1.99,126,139,,,,,,,,,,,,,,,,
,533x210x101 UB,,I,UK,Steel,-,101,536.7,210,10.8,17.4,12.7,476.5,44.1,4.99,7,110,32,1.87,18.5,61500,2690,21.9,4.57,2290,256,2610,399,0.874,33.1,1.81,101,129,,,,,,,,,,,,,,,,
,533x210x92 UB,,I,UK,Steel,-,92.1,533.1,209.3,10.1,15.6,12.7,476.5,47.2,5.57,7,110,30,1.86,20.2,55200,2390,21.7,4.51,2070,228,2360,355,0.873,36.4,1.6,75.7,117,,,,,,,,,,,,,,,,
,533x210x82 UB,,I,UK,Steel,-,82.2,528.3,208.8,9.6,13.2,12.7,476.5,49.6,6.58,7,110,26,1.85,22.5,47500,2010,21.3,4.38,1800,192,2060,300,0.863,41.6,1.33,51.5,105,,,,,,,,,,,,,,,,
,533x165x85 UB,,I,UK,Steel,-,84.8,534.9,166.5,10.3,16.5,12.7,476.5,46.3,3.96,7,90,30,1.69,19.9,48500,1270,21.2,3.44,1820,153,2100,243,0.861,35.5,0.857,73.8,108,,,,,,,,,,,,,,,,
,533x165x74 UB,,I,UK,Steel,-,74.7,529.1,165.9,9.7,13.6,12.7,476.5,49.1,4.81,7,90,28,1.68,22.5,41100,1040,20.8,3.3,1550,125,1810,200,0.853,41.1,0.691,47.9,95.2,,,,,,,,,,,,,,,,
,533x165x66 UB,,I,UK,Steel,-,65.7,524.7,165.1,8.9,11.4,12.7,476.5,53.5,5.74,6,90,26,1.67,25.4,35000,859,20.5,3.2,1340,104,1560,166,0.847,47,0.566,32,83.7,,,,,,,,,,,,,,,,
,457x191x161 UB,,I,UK,Steel,-,161.4,492,199.4,18,32,10.2,407.6,22.6,2.52,11,102,44,1.73,10.7,79800,4250,19.7,4.55,3240,426,3780,672,0.881,16.5,2.25,515,206,,,,,,,,,,,,,,,,
,457x191x133 UB,,I,UK,Steel,-,133.3,480.6,196.7,15.3,26.3,10.2,407.6,26.6,3.06,10,102,38,1.7,12.8,63800,3350,19.4,4.44,2660,341,3070,535,0.879,19.6,1.73,292,170,,,,,,,,,,,,,,,,
,457x191x106 UB,,I,UK,Steel,-,105.8,469.2,194,12.6,20.6,10.2,407.6,32.3,3.91,8,102,32,1.67,15.8,48900,2510,19,4.32,2080,259,2390,405,0.876,24.4,1.27,146,135,,,,,,,,,,,,,,,,
,457x191x98 UB,,I,UK,Steel,-,98.3,467.2,192.8,11.4,19.6,10.2,407.6,35.8,4.11,8,102,30,1.67,17,45700,2350,19.1,4.33,1960,243,2230,379,0.881,25.8,1.18,121,125,,,,,,,,,,,,,,,,
,457x191x89 UB,,I,UK,Steel,-,89.3,463.4,191.9,10.5,17.7,10.2,407.6,38.8,4.55,7,102,28,1.66,18.6,41000,2090,19,4.29,1770,218,2010,338,0.878,28.3,1.04,90.7,114,,,,,,,,,,,,,,,,
,457x191x82 UB,,I,UK,Steel,-,82,460,191.3,9.9,16,10.2,407.6,41.2,5.03,7,102,28,1.65,20.1,37100,1870,18.8,4.23,1610,196,1830,304,0.879,30.8,0.922,69.2,104,,,,,,,,,,,,,,,,
,457x191x74 UB,,I,UK,Steel,-,74.3,457,190.4,9,14.5,10.2,407.6,45.3,5.55,7,102,26,1.64,22.1,33300,1670,18.8,4.2,1460,176,1650,272,0.877,33.8,0.818,51.8,94.6,,,,,,,,,,,,,,,,
,457x191x67 UB,,I,UK,Steel,-,67.1,453.4,189.9,8.5,12.7,10.2,407.6,48,6.34,6,102,24,1.63,24.3,29400,1450,18.5,4.12,1300,153,1470,237,0.873,37.8,0.705,37.1,85.5,,,,,,,,,,,,,,,,
,457x152x82 UB,,I,UK,Steel,-,82.1,465.8,155.3,10.5,18.9,10.2,407.6,38.8,3.29,7,84,30,1.51,18.4,36600,1180,18.7,3.37,1570,153,1810,240,0.872,27.4,0.591,89.2,105,,,,,,,,,,,,,,,,
,457x152x74 UB,,I,UK,Steel,-,74.2,462,154.4,9.6,17,10.2,407.6,42.5,3.66,7,84,28,1.5,20.2,32700,1050,18.6,3.33,1410,136,1630,213,0.872,30.1,0.518,65.9,94.5,,,,,,,,,,,,,,,,
,457x152x67 UB,,I,UK,Steel,-,67.2,458,153.8,9,15,10.2,407.6,45.3,4.15,7,84,26,1.5,22.3,28900,913,18.4,3.27,1260,119,1450,187,0.868,33.6,0.448,47.7,85.6,,,,,,,,,,,,,,,,
,457x152x60 UB,,I,UK,Steel,-,59.8,454.6,152.9,8.1,13.3,10.2,407.6,50.3,4.68,6,84,24,1.49,24.9,25500,795,18.3,3.23,1120,104,1290,163,0.868,37.5,0.387,33.8,76.2,,,,,,,,,,,,,,,,
,457x152x52 UB,,I,UK,Steel,-,52.3,449.8,152.4,7.6,10.9,10.2,407.6,53.6,5.71,6,84,22,1.48,28.3,21400,645,17.9,3.11,950,84.6,1100,133,0.859,43.8,0.311,21.4,66.6,,,,,,,,,,,,,,,,
,406x178x85 UKB,,I,UK,Steel,Tata,85.3,417.2,181.9,10.9,18.2,10.2,360.4,33.1,4.14,7,96,30,1.52,17.8,31700,1830,17.1,4.11,1520,201,1730,313,0.88,24.4,0.728,93,109,,,,,,,,,,,,,,,,
,406x178x74 UB,,I,UK,Steel,-,74.2,412.8,179.5,9.5,16,10.2,360.4,37.9,4.68,7,96,28,1.51,20.4,27300,1550,17,4.04,1320,172,1500,267,0.882,27.5,0.608,62.8,94.5,,,,,,,,,,,,,,,,
,406x178x67 UB,,I,UK,Steel,-,67.1,409.4,178.8,8.8,14.3,10.2,360.4,41,5.23,6,96,26,1.5,22.3,24300,1360,16.9,3.99,1190,153,1350,237,0.88,30.4,0.533,46.1,85.5,,,,,,,,,,,,,,,,
,406x178x60 UB,,I,UK,Steel,-,60.1,406.4,177.9,7.9,12.8,10.2,360.4,45.6,5.84,6,96,24,1.49,24.8,21600,1200,16.8,3.97,1060,135,1200,209,0.88,33.7,0.466,33.3,76.5,,,,,,,,,,,,,,,,
,406x178x54 UB,,I,UK,Steel,-,54.1,402.6,177.7,7.7,10.9,10.2,360.4,46.8,6.86,6,96,22,1.48,27.3,18700,1020,16.5,3.85,930,115,1050,178,0.871,38.3,0.392,23.1,69,,,,,,,,,,,,,,,,
,406x140x53 UKB,,I,UK,Steel,Tata,53.3,406.6,143.3,7.9,12.9,10.2,360.4,45.6,4.46,6,78,24,1.35,25.3,18300,635,16.4,3.06,899,88.6,1030,139,0.87,34.1,0.246,29,67.9,,,,,,,,,,,,,,,,
,406x140x46 UB,,I,UK,Steel,-,46,403.2,142.2,6.8,11.2,10.2,360.4,53,5.13,5,78,22,1.34,29.1,15700,538,16.4,3.03,778,75.7,888,118,0.871,39,0.207,19,58.6,,,,,,,,,,,,,,,,
,406x140x39 UB,,I,UK,Steel,,39,398,141.8,6.4,8.6,10.2,360.4,56.3,6.69,5,78,20,1.33,34.1,12500,410,15.9,2.87,629,57.8,724,90.8,0.858,47.4,0.155,10.7,49.7,,,,,,,,,,,,,,,,
,356x171x67 UB,,I,UK,Steel,,67.1,363.4,173.2,9.1,15.7,10.2,311.6,34.2,4.58,7,94,26,1.38,20.6,19500,1360,15.1,3.99,1070,157,1210,243,0.886,24.4,0.412,55.7,85.5,,,,,,,,,,,,,,,,
,356x171x57 UB,,I,UK,Steel,,57,358,172.2,8.1,13,10.2,311.6,38.5,5.53,6,94,24,1.37,24.1,16000,1110,14.9,3.91,896,129,1010,199,0.882,28.8,0.33,33.4,72.6,,,,,,,,,,,,,,,,
,356x171x51 UB,,I,UK,Steel,,51,355,171.5,7.4,11.5,10.2,311.6,42.1,6.25,6,94,22,1.36,26.7,14100,968,14.8,3.86,796,113,896,174,0.881,32.1,0.286,23.8,64.9,,,,,,,,,,,,,,,,
,356x171x45 UB,,I,UK,Steel,,45,351.4,171.1,7,9.7,10.2,311.6,44.5,7.41,6,94,20,1.36,30.2,12100,811,14.5,3.76,687,94.8,775,147,0.874,36.8,0.237,15.8,57.3,,,,,,,,,,,,,,,,
,356x127x39 UB,,I,UK,Steel,,39.1,353.4,126,6.6,10.7,10.2,311.6,47.2,4.63,5,70,22,1.18,30.2,10200,358,14.3,2.68,576,56.8,659,89,0.871,35.2,0.105,15.1,49.8,,,,,,,,,,,,,,,,
,356x127x33 UB,,I,UK,Steel,,33.1,349,125.4,6,8.5,10.2,311.6,51.9,5.82,5,70,20,1.17,35.4,8250,280,14,2.58,473,44.7,543,70.2,0.863,42.1,0.081,8.79,42.1,,,,,,,,,,,,,,,,
,305x165x54 UB,,I,UK,Steel,,54,310.4,166.9,7.9,13.7,8.9,265.2,33.6,5.15,6,90,24,1.26,23.3,11700,1060,13,3.93,754,127,846,196,0.889,23.6,0.234,34.8,68.8,,,,,,,,,,,,,,,,
,305x165x46 UB,,I,UK,Steel,,46.1,306.6,165.7,6.7,11.8,8.9,265.2,39.6,5.98,5,90,22,1.25,27.1,9900,896,13,3.9,646,108,720,166,0.89,27.1,0.195,22.2,58.7,,,,,,,,,,,,,,,,
,305x165x40 UB,,I,UK,Steel,,40.3,303.4,165,6,10.2,8.9,265.2,44.2,6.92,5,90,20,1.24,30.8,8500,764,12.9,3.86,560,92.6,623,142,0.889,31,0.164,14.7,51.3,,,,,,,,,,,,,,,,
,305x127x48 UB,,I,UK,Steel,,48.1,311,125.3,9,14,8.9,265.2,29.5,3.52,7,70,24,1.09,22.7,9570,461,12.5,2.74,616,73.6,711,116,0.873,23.3,0.102,31.8,61.2,,,,,,,,,,,,,,,,
,305x127x42 UB,,I,UK,Steel,,41.9,307.2,124.3,8,12.1,8.9,265.2,33.2,4.07,6,70,22,1.08,25.8,8200,389,12.4,2.7,534,62.6,614,98.4,0.872,26.5,0.0846,21.1,53.4,,,,,,,,,,,,,,,,
,305x127x37 UB,,I,UK,Steel,,37,304.4,123.4,7.1,10.7,8.9,265.2,37.4,4.6,6,70,20,1.07,28.9,7170,336,12.3,2.67,471,54.5,539,85.4,0.872,29.7,0.0725,14.8,47.2,,,,,,,,,,,,,,,,
,305x102x33 UB,,I,UK,Steel,,32.8,312.7,102.4,6.6,10.8,7.6,275.9,41.8,3.73,5,58,20,1.01,30.8,6500,194,12.5,2.15,416,37.9,481,60,0.867,31.6,0.0442,12.2,41.8,,,,,,,,,,,,,,,,
,305x102x28 UB,,I,UK,Steel,,28.2,308.7,101.8,6,8.8,7.6,275.9,46,4.58,5,58,18,1,35.5,5370,155,12.2,2.08,348,30.5,403,48.4,0.859,37.3,0.0349,7.4,35.9,,,,,,,,,,,,,,,,
,305x102x25 UB,,I,UK,Steel,,24.8,305.1,101.6,5.8,7,7.6,275.9,47.6,5.76,5,58,16,0.992,40,4460,123,11.9,1.97,292,24.2,342,38.8,0.846,43.4,0.027,4.77,31.6,,,,,,,,,,,,,,,,
,254x146x43 UB,,I,UK,Steel,,43,259.6,147.3,7.2,12.7,7.6,219,30.4,4.92,6,82,22,1.08,25.1,6540,677,10.9,3.52,504,92,566,141,0.891,21.1,0.103,23.9,54.8,,,,,,,,,,,,,,,,
,254x146x37 UB,,I,UK,Steel,,37,256,146.4,6.3,10.9,7.6,219,34.8,5.73,5,82,20,1.07,28.9,5540,571,10.8,3.48,433,78,483,119,0.89,24.3,0.0857,15.3,47.2,,,,,,,,,,,,,,,,
,254x146x31 UB,,I,UK,Steel,,31.1,251.4,146.1,6,8.6,7.6,219,36.5,7.26,5,82,18,1.06,34,4410,448,10.5,3.36,351,61.3,393,94.1,0.879,29.6,0.066,8.55,39.7,,,,,,,,,,,,,,,,
,254x102x28 UB,,I,UK,Steel,,28.3,260.4,102.2,6.3,10,7.6,225.2,35.7,4.04,5,58,18,0.904,31.9,4000,179,10.5,2.22,308,34.9,353,54.8,0.873,27.5,0.028,9.57,36.1,,,,,,,,,,,,,,,,
